Zipmex market cap
| instrument | last_price | lowest_24hr | highest_24hr |
| IDR_SAND   | 10929      | 10784       | 11127        |
| SGD_SAND   | 1.02633    | 1.00193     | 1.043        |
| USD_SAND   | 0.75675    | 0.74366     | 0.77832      |
| USDT_SAND  | 0.75685    | 0.73697     | 0.7751       |
| THB_SAND   | 25.25      | 25          | 26           |
| AUD_XLM    | 0.43323    | 0.43029     | 0.43676      |
| IDR_XLM    | 4573       | 4527        | 4644         |
| SGD_XLM    | 0.42913    | 0.42552     | 0.43268      |
| THB_XLM    | 10.74999   | 10.60001    | 10.83001     |
| USD_XLM    | 0.3186     | 0.31628     | 0.32217      |
| USDT_XLM   | 0.31879    | 0.31715     | 0.3218       |
| THB_SIX    | 2.1499     | 2.141       | 2.15         |
| IDR_DOGE   | 3377       | 3353        | 3428         |
| USD_DOGE   | 0          | 0           | 0            |
| USDT_DOGE  | 0.2358     | 0.2343      | 0.2377       |
| IDR_ADA    | 34350      | 33997       | 34934        |
| USD_ADA    | 0          | 0           | 0            |
| USDT_ADA   | 2.394      | 2.372       | 2.415        |
| IDR_BNB    | 5720577    | 5680016     | 5776588      |
| USD_BNB    | 0          | 0           | 0            |
| USDT_BNB   | 399.73     | 396.77      | 401.84       |
| IDR_BABA   | 2345745    | 2345745     | 2398112      |
| IDR_TSLA   | 10674012   | 10577284    | 10762685     |
| IDR_PYPL   | 4010717    | 4007628     | 4064642      |
| IDR_TWTR   | 849733     | 847385      | 862229       |
| IDR_ZM     | 4140020    | 4131099     | 4205627      |
| IDR_ABNB   | 2268381    | 2268381     | 2341330      |
| IDR_ALGO   | 30564      | 30251       | 31767        |
| USDT_ALGO  | 2.1378     | 2.1081      | 2.2083       |
| IDR_ATOM   | 499397     | 490723      | 515052       |
| USDT_ATOM  | 34.798     | 34.209      | 35.491       |
| IDR_AVAX   | 802529     | 756810      | 813119       |
| USDT_AVAX  | 56.37      | 52.272      | 57.031       |
| IDR_AXS    | 931713     | 917724      | 946297       |
| USD_AXS    | 65.0893    | 64.3292     | 65.4527      |
| USDT_AXS   | 64.7628    | 64.2437     | 65.4545      |
| AUD_AXS    | 88.0441    | 87.3079     | 89.2746      |
| SGD_AXS    | 87.2876    | 86.0854     | 87.6894      |
| THB_AXS    | 2249.98    | 2200.01     | 2250         |
| IDR_BAKE   | 27281      | 27035       | 27748        |
| USDT_BAKE  | 1.898      | 1.889       | 1.915        |
| IDR_BAT    | 10834      | 10689       | 10985        |
| USD_BAT    | 0.7517     | 0.7466      | 0.7632       |
| USDT_BAT   | 0.7543     | 0.7464      | 0.7627       |
| AUD_BAT    | 1.0209     | 1.0138      | 1.0369       |
| SGD_BAT    | 1.0117     | 1.002       | 1.0241       |
| THB_BAT    | 25.055     | 24.8559     | 25.9999      |
| IDR_CAKE   | 278267     | 274737      | 281390       |
| USDT_CAKE  | 19.421     | 19.27       | 19.531       |
| IDR_DASH   | 2851524    | 2816443     | 2897030      |
| USDT_DASH  | 198.17     | 195.91      | 201.12       |
| IDR_DOT    | 498093     | 492387      | 506593       |
| USDT_DOT   | 34.915     | 34.046      | 35.097       |
| IDR_IOTA   | 20573      | 19918       | 20743        |
| USDT_IOTA  | 1.4393     | 1.383       | 1.443        |
| IDR_KSM    | 5736039    | 5685766     | 5860378      |
| USDT_KSM   | 398.67     | 396.27      | 405.36       |
| IDR_MANA   | 11840      | 11686       | 12041        |
| USDT_MANA  | 0.8231     | 0.8122      | 0.8322       |
| IDR_MATIC  | 18001      | 17814       | 18229        |
