| instrument | last_price | lowest_24hr | highest_24hr |
| USD_SAND   | 0.73138    | 0.71194     | 0.816        |
| USDT_SAND  | 0.73125    | 0.71001     | 0.8169       |
| THB_SAND   | 24.76001   | 24.29001    | 27           |
| AUD_XLM    | 0.431      | 0.42289     | 0.45781      |
| IDR_XLM    | 4560       | 4468        | 4835         |
| SGD_XLM    | 0.42396    | 0.41966     | 0.45204      |
| THB_XLM    | 10.55001   | 10.5        | 11.1295      |
| USD_XLM    | 0.31726    | 0.31107     | 0.33548      |
| USDT_XLM   | 0.31699    | 0.31269     | 0.33612      |
| THB_SIX    | 2.1208     | 2.12        | 2.199        |
| IDR_DOGE   | 3346       | 3280        | 3614         |
| USD_DOGE   | 0          | 0           | 0            |
| USDT_DOGE  | 0.2323     | 0.2289      | 0.2517       |
| IDR_ADA    | 34524      | 33188       | 37258        |
| USD_ADA    | 0          | 0           | 0            |
| USDT_ADA   | 2.392      | 2.329       | 2.592        |
| IDR_BNB    | 5673121    | 5600000     | 6030254      |
| USD_BNB    | 0          | 0           | 0            |
| USDT_BNB   | 393.31     | 386.39      | 418.24       |
| IDR_BABA   | 2390194    | 2327091     | 2428236      |
| IDR_TSLA   | 10421083   | 10222007    | 10728137     |
| IDR_PYPL   | 4041630    | 3984628     | 4120074      |
| IDR_TWTR   | 852738     | 844471      | 889025       |
| IDR_ZM     | 4248375    | 4208891     | 4383145      |
| IDR_ABNB   | 2323330    | 2225912     | 2399879      |
| IDR_ALGO   | 30598      | 28813       | 35999        |
| USDT_ALGO  | 2.1371     | 2.0128      | 2.5453       |
| IDR_ATOM   | 533285     | 437325      | 554559       |
| USDT_ATOM  | 37.259     | 30.236      | 38.712       |
| IDR_AVAX   | 739953     | 711080      | 866458       |
| USDT_AVAX  | 51.437     | 49.681      | 60.153       |
| IDR_AXS    | 917029     | 904449      | 1014466      |
| USD_AXS    | 63.6782    | 62.9631     | 70.5527      |
| USDT_AXS   | 63.9121    | 61.6208     | 70.5824      |
| AUD_AXS    | 86.5838    | 85.6782     | 96.3249      |
| SGD_AXS    | 85.9731    | 84.7681     | 94.8921      |
| THB_AXS    | 2199.99    | 2113.34     | 2370         |
| IDR_BAKE   | 26883      | 26165       | 29678        |
| USDT_BAKE  | 1.8718     | 1.8241      | 2.0636       |
| IDR_BAT    | 10531      | 10419       | 11733        |
| USD_BAT    | 0.7309     | 0.7224      | 0.8165       |
| USDT_BAT   | 0.7345     | 0.7258      | 0.8168       |
| AUD_BAT    | 0.9987     | 0.9866      | 1.1107       |
| SGD_BAT    | 0.9861     | 0.9714      | 1.0956       |
| THB_BAT    | 24.7002    | 24          | 26.9999      |
| IDR_CAKE   | 271628     | 266597      | 296239       |
| USDT_CAKE  | 18.94      | 18.647      | 20.622       |
| IDR_DASH   | 2769416    | 2692058     | 2949999      |
| USDT_DASH  | 191.52     | 187.7       | 205.62       |
| IDR_DOT    | 515298     | 462615      | 540565       |
| USDT_DOT   | 36.128     | 33.156      | 37.637       |
| IDR_IOTA   | 19627      | 19204       | 21876        |
| USDT_IOTA  | 1.3711     | 1.3253      | 1.518        |
| IDR_KSM    | 5880170    | 5553466     | 6419275      |
| USDT_KSM   | 408.21     | 382.73      | 446.05       |
| IDR_MANA   | 11435      | 11152       | 12206        |
| USDT_MANA  | 0.7914     | 0.7724      | 0.8489       |
| IDR_MATIC  | 17653      | 17418       | 19242        |
| USD_MATIC  | 1.22595    | 1.21081     | 1.34485      |
| USDT_MATIC | 1.22595    | 1.21618     | 1.34514      |
| AUD_MATIC  | 1.66849    | 1.64415     | 1.82538      |
| SGD_MATIC  | 1.63939    | 1.62552     | 1.79555      |
| THB_MATIC  | 41.331     | 41          | 46.24999     |
| IDR_NANO   | 76627      | 75136       | 84213        |
| USDT_NANO  | 5.304      | 5.2165      | 5.8631       |
| IDR_NEO    | 673078     | 657427      | 744885       |
| USDT_NEO   | 46.967     | 46.361      | 51.836       |
| IDR_ONE    | 2649       | 2510        | 3254         |
| USDT_ONE   | 0.18477    | 0.17897     | 0.22685      |
| IDR_QTUM   | 175227     | 170948      | 195238       |
| USDT_QTUM  | 12.233     | 11.81       | 13.806       |
| IDR_REN    | 9462       | 9108        | 10504        |
| USDT_REN   | 0.65462    | 0.63209     | 0.73587      |
| IDR_SNX    | 153515     | 144904      | 159728       |
| USD_SNX    | 10.703     | 10.142      | 11.207       |
| USDT_SNX   | 10.683     | 10.084      | 11.136       |
| AUD_SNX    | 14.564     | 13.829      | 15.162       |
| SGD_SNX    | 14.377     | 13.566      | 14.959       |
| THB_SNX    | 357.107    | 337.83      | 374.362      |
| IDR_SOL    | 2225714    | 2169481     | 2600000      |
| USDT_SOL   | 155.408    | 150.893     | 174.007      |
| IDR_THETA  | 85708      | 83297       | 95511        |
| USDT_THETA | 5.96       | 5.848       | 6.66         |
| IDR_TRX    | 1482       | 1467        | 1683         |
| USDT_TRX   | 0.10289    | 0.10037     | 0.11628      |
| IDR_UNI    | 319040     | 313190      | 345344       |
| USD_UNI    | 22.074     | 21.772      | 23.942       |
| USDT_UNI   | 22.054     | 21.636      | 23.971       |
| AUD_UNI    | 30.023     | 29.308      | 32.609       |
| SGD_UNI    | 29.687     | 29.083      | 32.111       |
| THB_UNI    | 754.999    | 728         | 806          |
| IDR_VET    | 1605       | 1574        | 1755         |
| USDT_VET   | 0.11163    | 0.11011     | 0.12213      |
| IDR_WAVES  | 426812     | 418862      | 489648       |
| USDT_WAVES | 29.637     | 28.977      | 34.635       |
| IDR_XEM    | 2503       | 2458        | 2694         |
| USDT_XEM   | 0.1731     | 0.1706      | 0.1873       |
| IDR_ZIL    | 1451       | 1408        | 1631         |
| USD_ZIL    | 0          | 0           | 0            |
| USDT_ZIL   | 0.10044    | 0.09796     | 0.11381      |
| AUD_ZIL    | 0          | 0           | 0            |
| SGD_ZIL    | 0          | 0           | 0            |
| THB_ZIL    | 0          | 0           | 0            |
| IDR_ZRX    | 13923      | 13535       | 15240        |
| USD_ZRX    | 0.967      | 0.943       | 1.0613       |
| USDT_ZRX   | 0.9655     | 0.9524      | 1.065        |
| AUD_ZRX    | 1.3206     | 1.2971      | 1.445        |
| SGD_ZRX    | 1.3072     | 1.2796      | 1.424        |
| THB_ZRX    | 32.3962    | 31.6401     | 35.4599      |
| AUD_1INCH  | 3.80328    | 3.74536     | 4.08576      |
| IDR_1INCH  | 40370.2    | 39334       | 43261        |
| SGD_1INCH  | 3.76618    | 3.69771     | 4.03596      |
| USD_1INCH  | 2.80448    | 2.7506      | 3.00465      |
| USDT_1INCH | 2.80347    | 2.73563     | 3.00665      |
| THB_1INCH  | 93.849     | 92.2        | 99.4687      |
| IDR_BRD    | 0          | 0           | 0            |
| USDT_BRD   | 0          | 0           | 0            |
| IDR_CELR   | 0          | 0           | 0            |
| USDT_CELR  | 0          | 0           | 0            |
| IDR_CKB    | 0          | 0           | 0            |
| USDT_CKB   | 0          | 0           | 0            |
| AUD_CRV    | 2.61827    | 0           | 0            |
| IDR_CRV    | 30383.8    | 29875.5     | 35340.1      |
| SGD_CRV    | 2.54458    | 0           | 0            |
| USD_CRV    | 1.89002    | 0           | 0            |
| USDT_CRV   | 2.11738    | 2.0741      | 2.47896      |
| THB_CRV    | 78         | 71.5        | 82           |
| IDR_CTK    | 0          | 0           | 0            |
| USDT_CTK   | 0          | 0           | 0            |
| IDR_DODO   | 0          | 0           | 0            |
| USDT_DODO  | 0          | 0           | 0            |
| AUD_FTT    | 89.1604    | 88.9509     | 100.8985     |
| IDR_FTT    | 945028.1   | 938187.5    | 1062596      |
| SGD_FTT    | 87.7329    | 87.4307     | 99.534       |
| USD_FTT    | 65.4733    | 65.2439     | 74.2211      |
| USDT_FTT   | 65.6949    | 65.0085     | 73.9867      |
| THB_FTT    | 2220.22    | 2220.22     | 2583         |
| IDR_HNT    | 0          | 0           | 0            |
| USDT_HNT   | 0          | 0           | 0            |
| IDR_ICP    | 0          | 0           | 0            |
| USDT_ICP   | 0          | 0           | 0            |
| IDR_INJ    | 0          | 0           | 0            |
| USDT_INJ   | 0          | 0           | 0            |
| IDR_LINA   | 0          | 0           | 0            |
| USDT_LINA  | 0          | 0           | 0            |
| IDR_MIR    | 0          | 0           | 0            |
| USDT_MIR   | 0          | 0           | 0            |
| IDR_NEAR   | 0          | 0           | 0            |
| USDT_NEAR  | 0          | 0           | 0            |
| IDR_OCEAN  | 0          | 0           | 0            |
| USDT_OCEAN | 0          | 0           | 0            |
| IDR_PROM   | 0          | 0           | 0            |
| USDT_PROM  | 0          | 0           | 0            |
| IDR_REEF   | 0          | 0           | 0            |
| USDT_REEF  | 0          | 0           | 0            |
| IDR_RSR    | 0          | 0           | 0            |
| USDT_RSR   | 0          | 0           | 0            |
| IDR_SKL    | 0          | 0           | 0            |
| USDT_SKL   | 0          | 0           | 0            |
| IDR_TWT    | 0          | 0           | 0            |
| USDT_TWT   | 0          | 0           | 0            |
| IDR_VTHO   | 0          | 0           | 0            |
| USDT_VTHO  | 0          | 0           | 0            |
| IDR_WIN    | 0          | 0           | 0            |
| USDT_WIN   | 0          | 0           | 0            |
| IDR_XSGD   | 0          | 0           | 0            |
| AUD_XSGD   | 0          | 0           | 0            |
| SGD_XSGD   | 0          | 0           | 0            |
| USD_XSGD   | 0          | 0           | 0            |
| USDT_XSGD  | 0          | 0           | 0            |
| THB_XSGD   | 0          | 0           | 0            |
| THB_AAPL   | 0          | 0           | 0            |
| THB_AMZN   | 0          | 0           | 0            |
| THB_FB     | 0          | 0           | 0            |
| THB_GOOGL  | 0          | 0           | 0            |
| THB_NFLX   | 0          | 0           | 0            |
| THB_ABNB   | 0          | 0           | 0            |
| THB_BABA   | 0          | 0           | 0            |
| THB_PYPL   | 0          | 0           | 0            |
| THB_TWTR   | 0          | 0           | 0            |
| THB_TSLA   | 0          | 0           | 0            |
| THB_ZM     | 0          | 0           | 0            |
